update,theta
915,0.6929546594619751
916,0.693132758140564
917,0.6933106184005737
918,0.6934882402420044
919,0.6936655640602112
920,0.6938426494598389
921,0.6940194964408875
922,0.6941960453987122
923,0.6943723559379578
924,0.6945484280586243
925,0.6947242021560669
926,0.6948997378349304
927,0.6950750350952148
928,0.6952500343322754
929,0.6954247951507568
930,0.6955993175506592
931,0.6957736015319824
932,0.6959475874900818
933,0.696121335029602
934,0.6962948441505432
935,0.6964681148529053
936,0.6966410875320435
937,0.6968138217926025
938,0.6969863176345825
939,0.6971585750579834
940,0.6973305344581604
941,0.6975022554397583
942,0.6976737380027771
943,0.6978449821472168
944,0.6980159878730774
945,0.6981867551803589
946,0.6983572244644165
947,0.698527455329895
948,0.6986974477767944
949,0.6988672018051147
950,0.699036717414856
951,0.6992059946060181
952,0.6993749737739563
953,0.6995437145233154
954,0.6997122168540955
955,0.6998804807662964
956,0.7000485062599182
957,0.7002162933349609
958,0.7003838419914246
959,0.7005511522293091
960,0.7007182240486145
961,0.700884997844696
962,0.7010515332221985
963,0.7012178301811218
964,0.7013838887214661
965,0.7015497088432312
966,0.7017152905464172
967,0.7018806338310242
968,0.702045738697052
969,0.7022106051445007
970,0.7023752331733704
971,0.7025396227836609
972,0.7027037739753723
973,0.7028676867485046
974,0.7030313611030579
975,0.703194797039032
976,0.703357994556427
977,0.7035209536552429
978,0.7036836743354797
979,0.7038461565971375
980,0.7040084004402161
981,0.7041704058647156
982,0.704332172870636
983,0.7044937014579773
984,0.7046549916267395
985,0.7048160433769226
986,0.7049768567085266
987,0.7051374316215515
988,0.7052977681159973
989,0.705457866191864
990,0.7056177258491516
991,0.7057774066925049
992,0.705936849117279
993,0.7060960531234741
994,0.7062550187110901
995,0.706413745880127
996,0.7065722346305847
997,0.7067304849624634
998,0.7068884968757629
999,0.7070462703704834
1000,0.7072038054466248
1001,0.7073611617088318
1002,0.7075182795524597
1003,0.7076751589775085
1004,0.7078317999839783
1005,0.7079882025718689
1006,0.7081443667411804
1007,0.7083003520965576
1008,0.7084560990333557
1009,0.7086116075515747
1010,0.7087668776512146
1011,0.7089219093322754
1012,0.7090767025947571
1013,0.7092313170433044
1014,0.7093856930732727
1015,0.7095398306846619
1016,0.7096937298774719
1017,0.7098474502563477
1018,0.7100009322166443
1019,0.7101541757583618
1020,0.7103071808815002
1021,0.7104599475860596
1022,0.7106125354766846
1023,0.7107648849487305
1024,0.7109169960021973
1025,0.711068868637085
1026,0.7112205624580383
1027,0.7113720178604126
1028,0.7115232348442078
1029,0.7116742730140686
1030,0.7118250727653503
1031,0.711975634098053
1032,0.7121259570121765
1033,0.7122761011123657
1034,0.7124260067939758
1035,0.7125756740570068
1036,0.7127251625061035
1037,0.7128744125366211
1038,0.7130234241485596
1039,0.7131722569465637
1040,0.7133208513259888
1041,0.7134692072868347
1042,0.7136173844337463
1043,0.7137653231620789
1044,0.7139130234718323
1045,0.7140605449676514
1046,0.7142078280448914
1047,0.714354932308197
1048,0.7145017981529236
1049,0.714648425579071
1050,0.7147948741912842
1051,0.7149410843849182
1052,0.7150870561599731
1053,0.7152328491210938
1054,0.7153784036636353
1055,0.7155237793922424
1056,0.7156689167022705
1057,0.7158138155937195
1058,0.7159585356712341
1059,0.7161030173301697
1060,0.7162473201751709
1061,0.716391384601593
1062,0.7165352702140808
1063,0.7166789174079895
1064,0.7168223857879639
1065,0.7169656157493591
1066,0.7171086072921753
1067,0.7172514200210571
1068,0.7173939943313599
1069,0.7175363898277283
1070,0.7176785469055176
1071,0.7178205251693726
1072,0.7179622650146484
1073,0.71810382604599
1074,0.7182451486587524
1075,0.7183862924575806
1076,0.7185271978378296
1077,0.7186679244041443
1078,0.7188084125518799
1079,0.7189487218856812
1080,0.7190887928009033
1081,0.7192286849021912
1082,0.7193683385848999
1083,0.7195078134536743
1084,0.7196471095085144
1085,0.7197861671447754
1086,0.719925045967102
1087,0.7200636863708496
1088,0.7202021479606628
1089,0.720340371131897
1090,0.7204784154891968
1091,0.7206162810325623
1092,0.7207539081573486
1093,0.7208913564682007
1094,0.7210285663604736
1095,0.7211655974388123
1096,0.7213023900985718
1097,0.721439003944397
1098,0.7215754389762878
1099,0.7217116355895996
1100,0.721847653388977
1101,0.7219834923744202
1102,0.7221190929412842
1103,0.7222545146942139
1104,0.7223896980285645
1105,0.7225247025489807
1106,0.7226595282554626
1107,0.7227941155433655
1108,0.722928524017334
1109,0.7230627536773682
1110,0.7231967449188232
1111,0.723330557346344
1112,0.7234641909599304
1113,0.7235975861549377
1114,0.7237308025360107
1115,0.7238638401031494
1116,0.723996639251709
1117,0.7241292595863342
1118,0.7242617011070251
1119,0.724393904209137
1120,0.7245259284973145
1121,0.7246577739715576
1122,0.7247894406318665
1123,0.7249208688735962
1124,0.7250521183013916
1125,0.7251831889152527
1126,0.7253140807151794
1127,0.7254447340965271
1128,0.7255752086639404
1129,0.7257055044174194
1130,0.7258355617523193
1131,0.7259654402732849
1132,0.7260951399803162
1133,0.7262246608734131
1134,0.7263539433479309
1135,0.7264830470085144
1136,0.7266119718551636
1137,0.7267407178878784
1138,0.7268692851066589
1139,0.7269976139068604
1140,0.7271257638931274
1141,0.7272537350654602
1142,0.7273815274238586
1143,0.7275091409683228
1144,0.7276365160942078
1145,0.7277637124061584
1146,0.7278907299041748
1147,0.7280175685882568
1148,0.7281442284584045
1149,0.7282706499099731
1150,0.7283968925476074
1151,0.7285229563713074
1152,0.728648841381073
1153,0.7287745475769043
1154,0.7289000749588013
1155,0.7290253639221191
1156,0.7291504740715027
1157,0.7292754054069519
1158,0.7294001579284668
1159,0.7295247316360474
1160,0.7296491265296936
1161,0.7297733426094055
1162,0.7298973798751831
1163,0.7300211787223816
1164,0.7301447987556458
1165,0.7302682399749756
1166,0.7303915023803711
1167,0.7305145859718323
1168,0.7306374907493591
1169,0.7307602167129517
1170,0.7308827638626099
1171,0.7310051321983337
1172,0.7311273217201233
1173,0.7312492728233337
1174,0.7313710451126099
1175,0.7314926385879517
1176,0.7316140532493591
1177,0.7317352890968323
1178,0.7318563461303711
1179,0.7319772243499756
1180,0.7320979237556458
1181,0.7322184443473816
1182,0.7323387861251831
1183,0.7324589490890503
1184,0.7325789332389832
1185,0.7326987385749817
1186,0.7328183650970459
1187,0.7329378128051758
1188,0.7330570816993713
1189,0.7331761717796326
1190,0.7332950830459595
1191,0.733413815498352
1192,0.7335323691368103
1193,0.7336507439613342
1194,0.7337689399719238
1195,0.7338869571685791
1196,0.7340047955513
1197,0.7341224551200867
1198,0.734239935874939
1199,0.7343572378158569
1200,0.7344743609428406
1201,0.7345913052558899
1202,0.7347080707550049
1203,0.7348246574401855
1204,0.7349410653114319
1205,0.7350572943687439
1206,0.7351733446121216
1207,0.7352892160415649
1208,0.735404908657074
1209,0.7355204224586487
1210,0.7356357574462891
1211,0.7357509136199951
1212,0.7358658909797668
1213,0.7359806895256042
1214,0.7360953688621521
1215,0.7362098693847656
1216,0.7363241910934448
1217,0.7364383339881897
1218,0.7365522980690002
1219,0.7366660833358765
1220,0.7367796897888184
1221,0.7368931174278259
1222,0.7370063662528992
1223,0.7371194362640381
1224,0.7372323274612427
1225,0.7373450994491577
1226,0.7374576926231384
1227,0.7375701069831848
1228,0.7376823425292969
1229,0.7377943992614746
1230,0.737906277179718
1231,0.7380179762840271
1232,0.7381295561790466
1233,0.7382409572601318
1234,0.7383521795272827
1235,0.7384632229804993
1236,0.7385740876197815
1237,0.7386847734451294
1238,0.738795280456543
1239,0.738905668258667
1240,0.7390158772468567
1241,0.7391259074211121
1242,0.7392357587814331
1243,0.7393454313278198
1244,0.7394549250602722
1245,0.7395642995834351
1246,0.7396734952926636
1247,0.7397825121879578
1248,0.7398913502693176
1249,0.7400000095367432
1250,0.7401085495948792
1251,0.7402169108390808
1252,0.7403250932693481
1253,0.7404330968856812
1254,0.7405409812927246
1255,0.7406486868858337
1256,0.7407562136650085
1257,0.740863561630249
1258,0.7409707307815552
